id,cause_of_death,missing,dead,affected_nationality
41378,Drowning,0.0,3.0,Comoros
41379,Train accident,0.0,1.0,Honduras
44177,Drowning,0.0,1.0,Guatemala
44577,Drowning,0.0,1.0,Salvador
44578,Drowning,0.0,9.0,Africa
44583,Drowning,0.0,1.0,Mexico
44584,drowning,0.0,1.0,Mexico
44585,Drowning,0.0,1.0,Mexico
44586,drowning,0.0,2.0,Mexico
44587,Mixed,0.0,145.0,Mexico
44588,Mixed,0.0,139.0,Mexico
44589,Mixed,0.0,10.0,Mexico
44978,drowning,0.0,1.0,Salvador
44979,drowning,0.0,1.0,Ecuadorian
44980,drowning,0.0,1.0,Honduras
45778,Hypothermia,0.0,1.0,Mexico
46577,Hit by truck,0.0,1.0,Afghan
46977,Hit by train,0.0,1.0,Honduras
47777,Fell from train,0.0,1.0,Honduras
47778,Hit by train,0.0,1.0,Honduras
48178,Vehicle accident,0.0,1.0,Mexico
48577,Shot,0.0,1.0,Guatemala
48978,Hyperthermia,0.0,1.0,Honduras
49377,Drowning,0.0,1.0,Syria
49777,Hit by vehicle,0.0,1.0,Mexico
50577,s,0.0,1.0,Cuba
50978,Drowning,0.0,1.0,El Salvador
51779,Drowning,18.36,0.0,Egypt
51779,Drowning,18.36,0.0,Ethiopia
51779,Drowning,18.36,0.0,Somalia
51779,Drowning,18.36,0.0,Sudan
51779,Drowning,18.36,0.0,Syria
52181,Drowning,0.0,2.0,Cuban
52578,Mixed,0.0,147.0,Various
53777,Murdered,0.0,13.0,Egypt
54578,Drowning,0.72,0.08,Nigeria
54578,Drowning,0.72,0.08,Ivory Coast
54578,Drowning,0.72,0.08,Guinea
54578,Drowning,0.72,0.08,Sudan
54578,Drowning,0.72,0.08,Mali
54978,Drowning,2.0,5.0,Madagascar
55377,Drowning,0.0,1.0,Mexico
56177,Beaten to death,0.0,1.0,Honduras
56178,Shot,0.0,1.0,Syria
56179,Beaten to death,0.0,1.0,Syria
56577,Hit by vehicle,0.0,1.0,Pakistan
56977,Shot,0.0,1.0,Syria
56978,Shot,0.0,2.0,Syria
57377,Vehicle accident,0.0,4.0,Honduras and Guatemala
57779,Exposure,0.0,1.0,Guatemala
58182,Exposure,0.0,1.0,Mexico
58577,Drowning,0.0,1.0,Egypt
58578,Drowning,0.0,1.0,Somalia
58977,Pulmonary complications,0.0,1.0,Haiti
60177,Drowning,0.0,1.0,Algeria
60578,Beaten to death,0.0,1.0,Guatemala
60977,Murdered,0.0,1.0,El Salvador
62177,Drowning,0.0,1.0,Mexico
64977,Drowning,13.16,0.4,Egypt
64977,Drowning,13.16,0.4,Ethiopia
64977,Drowning,13.16,0.4,Eritrea
64977,Drowning,13.16,0.4,Sudan
64977,Drowning,13.16,0.4,Comoros
65777,Suffocation,0.0,1.0,Afghanistan
66177,Drowning,0.0,1.0,Algerian
66178,Drowning,0.6666666666666666,0.0,Cameroon
66178,Drowning,0.3333333333333333,0.0,Gambia
66178,Drowning,0.3333333333333333,0.0,Mauritius
66182,Drowning,0.0,1.0,Syria
66581,Drowning,57.0,0.0,Guinea Conakry
66582,Drowning,0.0,1.0,Cuba
67379,Disease,0.0,1.0,Guatemala
67777,Hypothermia,0.0,1.0,Honduras
69777,Dehydration,0.0,34.0,Nigeria
70209,Suffocation,0.0,19.0,Ethiopia
72188,Fell from train,0.0,1.0,Honduras
72977,Drowning,1.0,3.0,Mexico
73779,Fell from train,0.0,1.0,Mexico
74177,Vehicle accident,0.0,1.0,El Salvador
74178,Hit by vehicle,0.0,1.0,Afghanistan
74980,Shot,0.0,1.0,Syria
74981,Shot,0.0,11.0,Syria
74982,Shot,0.0,1.0,Syria
74983,Shot,0.0,1.0,Syria
74984,Shot,0.0,1.0,Syria
74985,Shot,0.0,1.0,Syria
74986,Shot,0.0,3.0,Syria
74987,Shot,0.0,1.0,Syria
74988,Shot,0.0,1.0,Syria
74989,Shot,0.0,1.0,Syria
74990,Shot,0.0,2.0,Syria
74991,Shot,0.0,1.0,Syria
74992,Shot,0.0,2.0,Syria
74993,Shot,0.0,1.0,Syria
74994,Shot,0.0,1.0,Syria
74995,Shot,0.0,1.0,Syria
74996,Shot,0.0,1.0,Syria
74997,Shot,0.0,1.0,Syria
74998,Shot,0.0,1.0,Syria
75377,Shot,0.0,1.0,Syria
75378,Shot,0.0,1.0,Syria
75380,Shot,0.0,1.0,Syria
75381,Shot,0.0,8.0,Syria
